Gender,R1,R2,Rhythm,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,Result
1,5,5,10,34.46,28.15,2,0,45,41.38,40.39,10,4.09,15,P
0,5,5,10,31.82,31.34,0,0,45,23.84,21.62,10,5.12,15,P
0,5,5,10,34.35,30.71,3,0,45,27.77,29.43,10,4.89,15,P
0,5,5,10,34.12,32.32,0,0,45,43.4,33.79,10,4.62,15,P
0,4,6,10,34.63,30.87,0,0,45,31.14,37.49,10,4.51,15,P
1,3,4,7,30.92,28.22,0,0,45,36.54,36.54,8.27,4.4,15,P
0,7,8,15,26.02,27.14,0,0,45,44.42,33.79,7.91,4.22,13.62,P
1,8,7,15,25.54,24.39,1,0,45,42.38,46.51,6.46,4.01,11.93,P
1,8,6,14,26.76,23.69,2,0,45,47.58,43.4,6.37,4,11.71,P
1,7,7,14,27.43,27.38,0,0,45,31.14,33.79,6.05,4.22,15,P
0,8,5,13,28.8,27.59,0,0,45,29.43,28.6,2.57,4.49,12.37,P
1,7,7,14,27.01,26.7,0,0,45,37.49,37.49,2.24,4.14,11.25,F
1,3,5,8,30.13,27,0,0,45,35.61,34.69,1.81,4.04,10.41,F
1,8,7,15,24.43,24.6,0,0,44.87,41.38,35.61,4.83,3.87,13.66,P
0,7,8,15,27.12,26.27,0,0,44.18,37.49,26.96,5.64,4.29,12.77,P
1,3,4,7,28.03,27.12,0,0,44.07,39.41,39.41,3.71,3.95,11.66,F
0,8,7,15,28,27.91,0,0,44.01,38.44,35.61,5.55,4.73,9.32,P
1,4,2,6,31.05,27.14,0,0,43.91,51.95,49.74,10,3.69,15,P
1,4,6,10,26.96,27.41,0,1,43.8,29.43,39.41,3.02,4.32,7.77,F
0,8,6,14,27.98,31.8,0,2,43.76,32.89,32.89,3.72,4.46,12.75,P
0,8,5,13,28.15,28.69,0,0,43.25,32.01,32.89,3.72,4.67,10.11,P
1,8,2,10,28.15,28.43,0,0,43.23,41.38,40.39,6.51,4.33,14.38,P
1,2,2,4,27.23,27.67,0,0,43.21,45.46,42.38,6.75,4.04,10.41,P
0,7,8,15,26.67,26.72,0,0,42.91,35.61,38.44,5.95,4.23,13.42,P
1,3,3,6,-2,29.63,0,1,42.24,34.69,40.39,10,4.72,11.33,P
1,8,5,13,29.97,28.77,1,0,42.17,45.46,39.41,0,4.26,14.26,F
1,7,7,14,30.5,28.77,0,0,42.16,36.54,33.79,4.62,4.52,9.07,P
0,6,3,9,32.67,28.5,0,0,42.12,33.79,32.89,4.01,4.28,15,P
1,8,7,15,26.83,25.38,2,1,41.18,49.74,47.58,7.48,3.93,12.88,P
1,6,5,11,27.62,29.56,0,0,40.71,42.38,41.38,4.23,4.74,0,F
1,7,6,13,27,25.57,1,0,40.45,38.44,38.44,3.89,4.12,10.56,P
1,4,4,8,27.73,29.57,0,2,40.18,37.49,39.41,3.02,4.14,11.21,P
1,7,8,15,27.81,27.76,0,0,40.04,35.61,39.41,3.02,4.33,7.45,P
1,5,5,10,25.71,25.89,0,0,39.9,33.79,35.61,3,3.92,13.06,P
0,7,6,13,29.27,30.58,0,0,39.67,33.79,39.41,5.86,4.4,13.57,P
1,7,6,13,27.85,28.82,0,0,39.65,37.49,41.38,3.82,3.95,15,P
1,8,7,15,26.79,25.82,1,0,39.46,43.4,43.4,5.47,4.32,8.26,P
0,7,8,15,28.36,27.78,0,0,39.36,26.16,36.54,5.33,4.56,9.39,P
0,8,6,14,31.85,29.38,0,0,39.33,44.42,46.51,8.21,4.33,14.39,P
0,7,4,11,29.85,29.39,1,1,39.3,32.01,30.28,3.42,4.56,11.53,P
1,8,7,15,28.31,25.91,1,0,39.14,49.74,55.36,9.26,4.2,9.62,P
0,8,6,14,30.92,29.44,0,0,39.14,27.77,23.84,2.03,4.61,10.85,P
1,6,4,10,25.92,26.34,0,0,39.1,38.44,36.54,3.89,4.38,7.51,P
1,8,7,15,26.4,25.92,1,0,39.09,41.38,42.38,5.14,3.93,12.89,P
0,7,8,15,27.92,28.27,0,0,38.92,32.89,24.6,4.14,4.38,11.57,P
0,7,7,14,30.3,29.51,0,0,38.92,30.28,32.01,3.42,4.54,11.76,P
0,7,7,14,29.55,29.61,0,0,38.78,31.14,28.6,3.14,4.45,12.95,P
1,4,5,9,27.25,26.05,1,0,38.59,51.95,49.74,8.18,3.92,13.07,P
1,7,8,15,31.05,28.18,0,0,38.08,36.54,49.74,7.24,4.16,10.91,P
1,8,7,15,26.53,26.21,0,0,37.98,37.49,39.41,4.2,4.09,10.96,P
1,7,4,11,26.4,25.4,0,0,37.82,37.49,47.58,6.37,3.8,14.57,P
0,8,4,12,29.87,33.47,0,3,37.78,23.84,26.16,1.5,4.7,9.72,F
0,7,8,15,31.69,28.29,0,0,37.72,28.6,32.89,4.14,4.49,10.2,P
0,8,7,15,29.91,34.31,1,4,37.64,25.38,26.16,1.5,4.74,9.28,F
1,4,4,8,33.47,26.3,3,0,37.61,42.38,41.38,5.14,4.32,8.26,P
1,6,4,10,27.12,25.45,0,0,37.6,30.28,26.16,0.81,4.16,9.33,F
0,7,7,14,32.12,28.34,0,0,37.55,36.54,50.84,10,4.11,15,P
0,7,7,14,32.95,28.4,1,0,37.35,32.89,29.43,4.14,4.77,6.78,P
0,7,7,14,31.98,28.42,0,0,37.3,18.17,20.91,0.23,4.57,9.18,F
0,6,8,14,28.66,28.42,0,0,37.29,26.96,33.79,4.43,4.57,9.2,P
1,6,8,14,26.64,25.53,0,0,37.27,35.61,40.39,4.06,4.14,9.55,P
1,8,7,15,29.06,26.41,0,0,37.19,44.42,44.42,5.79,3.95,12.69,P
1,4,7,11,28.22,26.41,1,0,37.18,34.69,34.69,2.71,4.46,6.53,P
0,7,7,14,28.47,29.61,0,1,37.15,30.28,32.89,4.14,4.6,8.8,P
0,5,4,9,31.37,30.1,1,0,37.05,36.54,34.69,4.92,4.57,11.34,P
0,7,8,15,28.96,28.56,0,0,36.85,26.16,30.28,3.29,4.37,11.78,P
1,4,5,9,30.66,26.53,4,0,36.72,39.41,40.39,4.51,4,12.07,P
1,7,7,14,28.86,26.59,2,0,36.49,43.4,45.46,6.12,4.04,11.52,P
1,8,6,14,26.64,26.84,0,0,36.3,29.43,38.44,3.89,4.04,11.53,P
1,3,3,6,27.42,26.76,0,0,35.82,44.42,40.39,5.79,4.09,10.94,P
1,5,7,12,26.81,30.13,1,2,35.66,41.38,43.4,5.47,4.11,10.77,P
1,7,7,14,28.04,26.81,1,0,35.63,31.14,37.49,3.59,4.11,10.77,P
1,4,5,9,28.21,28.24,0,0,35.6,44.42,17.52,6.23,4.06,10.18,P
1,7,8,15,26.17,25.94,0,0,35.55,39.41,46.51,6.03,4.04,11,P
1,2,2,4,-2,33.07,0,2,35.5,40.39,30.28,10,4.46,14.31,P
0,8,7,15,30.74,30.6,0,0,35.46,31.14,29.43,3.14,4.69,9.92,P
1,5,5,10,27.65,25.99,1,0,35.38,44.42,45.46,5.69,3.93,12.66,P
0,8,7,15,34.23,30.64,3,0,35.33,23.84,30.28,2.85,4.3,14.77,P
0,3,4,7,31.15,29.11,1,0,35.09,39.41,36.54,6.27,4.69,7.79,P
1,8,6,14,27.54,26.96,0,0,35.06,38.44,45.46,6.12,3.93,12.93,P
0,7,7,14,30.77,31.4,1,0,34.92,44.42,39.41,7.52,4.35,14.2,P
1,5,7,12,27.01,28.74,0,2,34.87,37.49,41.38,4.83,3.96,12.49,P
1,5,4,9,26.11,26.64,0,0,34.85,42.38,36.54,4.7,3.85,13.87,P
0,7,8,15,29.41,29.19,0,0,34.83,27.77,26.16,2.47,4.51,10,P
1,8,7,15,29.96,27.04,3,0,34.76,32.01,29.43,1.85,4.4,7.3,F
0,5,5,10,37.23,29.22,1,0,34.73,31.14,33.79,4.43,4.47,10.44,P
1,7,8,15,26.16,26.65,0,0,34.64,40.39,43.4,5.02,4.04,11,P
1,8,4,12,32.97,32.48,0,0,34.61,29.43,32.01,6.97,4.79,3.95,P
0,6,6,12,34.44,29.29,1,0,34.52,29.43,39.41,6.27,4.43,11.01,P
1,3,7,10,27.74,26.19,0,0,34.51,32.89,36.54,2.82,4.19,8.81,P
1,7,8,15,26.2,26.42,0,0,34.46,40.39,37.49,4.06,4.12,9.81,P
1,6,4,10,30.63,28.97,0,0,34.39,33.79,43.4,4.65,4.01,13.8,P
0,7,7,14,30.94,32.05,0,0,34.39,31.14,28.6,3.14,4.61,10.92,P
1,5,5,10,29.16,27.14,0,0,34.38,39.41,47.58,6.79,4.16,10.19,P
1,5,5,10,27.36,26.26,0,0,34.24,27.77,35.61,2.52,4.15,9.35,P
1,7,7,14,28.1,27.19,0,0,34.19,43.4,43.4,5.47,4.32,8.26,P
1,5,5,10,28.31,27.2,0,0,34.13,38.44,41.38,4.83,4.24,9.21,P
0,7,8,15,31.27,29.42,2,0,34.11,21.62,30.28,3.29,5.01,3.8,P
0,7,7,14,31.03,31.03,0,0,34.08,39.41,36.54,5.86,4.67,10.14,P
1,7,8,15,28.27,26.3,0,0,34.04,46.51,45.46,6.03,4.43,5.25,P
0,7,4,11,31.85,31.08,0,0,33.93,28.6,32.89,3.72,4.62,10.76,F
1,4,7,11,28.14,27.28,1,0,33.82,57.69,57.69,10,4.03,11.74,P
1,4,6,10,28.7,27.28,1,0,33.81,37.49,38.44,3.89,4.44,6.75,F
0,7,8,15,30.18,29.54,0,0,33.7,32.01,32.01,3.85,4.46,10.59,F
1,6,5,11,31.66,27.31,1,0,33.69,44.42,44.42,5.79,4.62,4.59,F
1,4,6,10,26.4,26.99,0,0,33.66,39.41,33.79,3.74,3.93,12.71,F
0,7,7,14,29.56,29.86,0,0,33.65,33.79,32.01,4.43,4.38,11.57,F
